1021	ул. Советская 18	4593	Московская область, Подольск, микрорайон Климовск, Советская улица
1024	Юрлово	1	Москва, Юрловский проезд, 14
1062	Дом в Сокольниках	1	Москва, Русаковская улица, 31
1070	Соколиная Гора	1	Москва, проспект Буденного
1082	Dominion	1	Москва, Ломоносовский проспект, 25
1085	O2XYGEN	1	Москва, Ярцевская улица, 27к1
1088	Академ-Палас	1	Москва, проспект Вернадского, вл78
1092	Ближняя дача	1	Москва, Староволынская улица, 15
1093	Волынский	1	Москва, Староволынская улица, 12к1
1094	Воробьевы Горы	1	Москва, Мосфильмовская улица, 70
1097	Дипломат	1	Москва, Мичуринский проспект, 39
1098	Долина грез	1	Москва, Крылатская улица
1099	Дом на Мосфильмовской	1	Москва, Мосфильмовская улица, 8
1101	Золотой Треугольник	1	Москва, улица Герасима Курина, 36
1102	Золотые Ключи 2	1	Москва, Минская улица
1107	Квартал Шуваловский	1	Москва, Ломоносовский проспект
1116	Мичуринский	1	Москва, жилой комплекс Мичуринский
1131	Солнце	1	Москва, Ельнинская улица 30
1172	Головино	1	Москва, Нарвская улица, 1Ак4
1173	Гранд-парк	1	Москва, Ходынский бульвар
1179	Петровский Парк	1	Москва, улица Верхняя Масловка, 25
1181	Триумф-Палас	1	Москва, Чапаевский переулок, 3
1212	Лайково	4593	Московская область, Одинцовский район, село Лайково
1215	Седьмое Небо	1	Москва, улица Академика Королева, 10
1237	Аэлита	1	Москва, Юровская улица, 94
1244	Континенталь	1	Москва, проспект Маршала Жукова, 78
1246	Лазурный Блюз	1	Москва, улица Твардовского
1248	Маршала Соколовского, 10	1	Москва, улица Маршала Соколовского, 10
1250	Олимпия	1	Москва, улица Исаковского, 39
1252	Покровский берег	1	Москва, Береговая улица
1253	Северная Звезда	1	Москва, улица Расплетина, 22к2
1254	Северный парк	1	Москва, Ленинградское шоссе, 25к3
1255	Соловьиная Роща	1	Москва, улица Соловьиная Роща, 16
1256	Эльсинор	1	Москва, улица Маршала Соколовского, 5
1280	Приволье	1	Москва, Привольная улица, 56
1287	Город-парк Переделкино Ближнее	1	Москва, поселение Внуковское, микрорайон Переделкино Ближнее
1289	Марушкино	1	Москва, поселение Марушкинское, деревня Марушкино, Северная улица, 15
1295	Триумф	4593	Московская область, Подольск, микрорайон Климовск, Советская улица
1297	Сосновка	4593	Московская область, Подольск, микрорайон Климовск, Больничный проезд
1298	Подольские просторы	4593	Московская область, Подольск, жилой комплекс Подольские просторы
1299	Московский (Красная Горка)	4593	Московская область, Подольск, Садовая улица
1300	Южный	4593	Московская область, Подольск, проезд Электромонтажный
1303	Родники	4593	Московская область, Подольский район, пос. Знамя Октября, улица Родники
1306	Красногорье DELUXE	4593	Московская область, Красногорск, микрорайон Павшинская Пойма, Павшинский бульвар, 40
1309	Опалиха О2	4593	Московская область, Красногорск, микрорайон Опалиха, улица Дежнева
1310	Новое Нахабино	4593	Московская область, Истринский район, Павло-Слободское сельское поселение, деревня Чёрная, Европейская улица
1314	Аристово-Митино	4593	Московская область, городской округ Красногорск, деревня Аристово, Весенняя улица
1316	Щитниково Изумрудный	4593	Московская область, Балашиха, квартал Янтарный, Кольцевая улица
1320	Сакраменто	4593	Московская область, Балашиха, микрорайон Сакраменто
1321	Акварели	4593	Московская область, Балашиха, проспект Ленина
1324	Новое Измайлово	4593	Московская область, Балашиха, жилой комплекс Новое Измайлово
1327	Новое Павлино	4593	Московская область, Балашиха, микрорайон Новое Павлино, Троицкая улица
1340	Академдом	1	Москва, улица Архитектора Власова, 8
1348	Клубный дом Brent	1	Москва, улица Вавилова, 54к4
1351	Бирюза	1	Москва, улица Гарибальди, 6к1
1354	Нахимово	1	Москва, Болотниковская улица, 36к4
1356	Потапово	1	Москва, Остафьевская улица, 43К17
1359	Светлый город	1	Москва, улица Академика Волгина
1363	Эмеральд	1	Москва, Ленинский проспект, 103
1380	Восточный	4593	Московская область, Лобня, проезд Свободный
1385	Мечта	4593	Московская область, Дмитровский район, сельское поселение Габовское, село Озерецкое
1387	Жемчужина Балашихи	4593	Московская область, Балашиха, жилой комплекс Жемчужина Балашихи
1389	Вавилов ДОМ	1	Москва, улица Вавилова
1391	Пестово	4593	Московская область, городской округ Мытищи, коттеджный поселок Пестово
1392	Лермонтовский	4593	Московская область, Люберцы, Октябрьский проспект, 1
1397	Красная Горка	4593	Московская область, Люберцы, микрорайон Красная Горка
1401	Аннинский	1	Москва, Варшавское шоссе, 160к1
1416	Скай Форт	1	Москва, жилой комплекс Скай Форт
1418	Коммунарка	1	Москва, посёлок Коммунарка
1421	Дубровка	1	Москва, поселение Сосенское, деревня Сосенки, Ясеневая улица
1422	Новотроицкий	1	Москва, поселок завода Мосрентген, 35
1424	Клубный	4593	Московская область, Ленинский район, Видное, ЖК Клубный
1426	Березовая роща	4593	Московская область, Видное, улица Березовая
1428	Завидное	4593	Московская область, Ленинский район, Видное, микрорайон Завидное
1429	Царицыно-2	1	Москва, 6-я Радиальная улица
1436	Загорье	1	Москва, Ягодная улица
1442	Ольховка-3	4593	Московская область, Ленинский район, посёлок Володарского, Текстильная улица
1446	Град Московский	1	Москва, Московский, микрорайон Град Московский
1447	Юго-Западный	1	Москва, Московский, 3-й микрорайон, 2
1448	Город-парк Первый Московский	1	Москва, Московский, улица Бианки
1455	Мичуринский квартал	4593	Московская область, Химки, микрорайон Сходня, улица Мичурина
1459	Левобережный	4593	Московская область, Химки, Совхозная улица
1465	Почтовая 41к2	4593	Московская область, Звенигород, Почтовая улица, 41к2
1466	Серебряные звоны	4593	Московская область, Звенигород, улица Макарова
1471	Гусарская баллада	4593	Московская область, Одинцово, Триумфальная улица
1473	Да Винчи	4593	Московская область, Одинцово, жилой комплекс Да Винчи
