2052	19	10к2	Москва, 1-я улица Машиностроения, 10
39845	20	корпус 1А	Москва, улица Адмирала Лазарева, 63к3
46477	21	77	Москва, Алтуфьевское шоссе, 77к1
2055	22	Блок А	Москва, бульвар Маршала Рокоссовского, 6к1А
2056	22	Блок Б	Москва, бульвар Маршала Рокоссовского, 6к1Б
2057	22	Блок В	Москва, бульвар Маршала Рокоссовского, 6к1В
2058	22	Блок Г	Москва, бульвар Маршала Рокоссовского, 6к1Г
2060	23	42	Москва, Первомайская улица, 42
2061	23	42К1	Москва, Первомайская улица, 42к1
2062	23	42К2	Москва, Первомайская улица, 42к2
2063	23	42К3	Москва, Первомайская улица, 42к3
2064	23	42К4	Москва, Первомайская улица, 42к4
6355	24	Дом №4	Московская область, Жуковский, улица Гудкова, 20
11685	25	Дом 3	Московская область, Наро-Фоминский городской округ, Апрелевка, Парковая улица, 3
46317	26	27	Московская область, Балашиха, микрорайон Гагарина, 27
46318	26	28	Московская область, Балашиха, микрорайон Гагарина, 28
2002	27	Дом 4	Московская область, Звенигород, Садовая улица, 4
2003	27	Дом 3	Московская область, Звенигород, Садовая улица, 3
2004	27	Дом 5	Московская область, Звенигород, Садовая улица, 5
2066	28	34БКБ	Московская область, Мытищи, улица Колпакова, 34Б
2067	29	Дом 3	Москва, Ружейный переулок, 3
2071	30	Корпус 6 (Октябрьский проспект 10)	Московская область, Мытищи, Октябрьский проспект, 10А
7819	30	Корпус 9	Московская область, Мытищи, Яузская улица, 1
11528	31	10	Москва, улица Ивана Бабушкина, 10
38884	32	8	Московская область, Ивантеевка, Центральный проезд, 17
51385	33	Корпус 1	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 1
51386	33	Корпус 2	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 2
51387	33	Корпус 3	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 3
98689	33	Корпус 5	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 5
102279	33	Корпус 6	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 6
103476	33	Корпус 4	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 4
110371	33	Корпус 7	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры
110372	33	Корпус 8	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры
110374	33	Корпус 9	Московская область, Мякининское шоссе
110420	33	Корпус 10	Московская область, Мякининское шоссе
10508	34	1 корпус	Московская область, Мытищи, Благовещенская улица, 11
2072	35	41а	Московская область, Мытищи, Новомытищинский проспект, 41А
10399	36	Корпус 1	Москва, Мытная улица
10400	36	Корпус 2	Москва, Мытная улица
10401	36	Корпус 3	Москва, Мытная улица
10402	36	Корпус 4	Москва, Мытная улица
11562	37	Дом 19к1	Москва, Нагорный бульвар, 19к1
2078	38	Корп. 1	Москва, Измайловский проезд, 10к1
2079	38	Корп. 2	Москва, Измайловский проезд, 10к2
2080	38	Корп. 3	Москва, Измайловский проезд, 10к3
2081	38	Корп. 4	Москва, Измайловский проезд, 10к4
2084	39	18	Москва, Симферопольский проезд, 18
2086	40	1К1	Москва, Нежинская улица, 1к1
2088	40	1К2	Москва, Нежинская улица, 1к2
2089	40	1К3	Москва, Нежинская улица, 1к3
2091	40	1К4	Москва, Нежинская улица, 1к4
10593	41	7	Москва, Нижегородская улица, 7
9916	42	Корпус А	Москва, Новоясеневский проспект
13570	42	Корпус В	Москва, Новоясеневский проспект, 9
16704	42	Корпус Б	Москва, Новоясеневский проспект
11547	43	30	Московская область, Коломна, Москворецкая улица, 30
2095	44	25К1	Москва, Профсоюзная улица, 25К1
2096	44	44К2	Москва, Новочеремушкинская улица, 44К2
108623	44	44К3	Москва, Новочерёмушкинская улица, 44к3
2097	45	9А	Москва, Комсомольский проспект, 9А
8210	46	19к1	Москва, улица Ефремова, 19к1
8211	46	19к2	Москва, улица Ефремова, 19к2
8212	46	19к3	Москва, улица Ефремова, 19к3
8213	46	19к4	Москва, улица Ефремова, 19к4
576812	47	VernadSKY	Москва, проспект Вернадского
2098	48	20СТР1	Москва, улица Верхняя Масловка, 20с1
11693	49	1	Московская область, Воскресенск, микрорайон Центральный, улица Куйбышева, 47Ас1
11694	49	2	Московская область, Воскресенск, микрорайон Центральный, улица Куйбышева, 47Ас2
11695	49	3	Московская область, Воскресенск, микрорайон Центральный, улица Куйбышева, 47Ас3
35222	50	Захарченко, 10 (дом 1)	Московская область, Электросталь, улица Захарченко, 10
35224	50	Захарченко, 8 (дом 2)	Московская область, Электросталь, улица Захарченко, 8
35226	50	Захарченко, 6 (дом 3)	Московская область, Электросталь, улица Захарченко, 6
576297	50	Литер 4	Московская область, Электросталь, улица Захарченко, к12
10592	51	55	Москва, улица Гиляровского, 55
1757	52	6к1	Москва, улица Фотиевой, 6к1
309	53	Дом №1	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова, 2
310	53	Дом №2	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова, 4
311	53	Дом №3	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова, 6
312	53	Дом №4	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова, 8
313	53	Дом №5	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова, 10
2102	53	Дом №6	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова, 26
2103	54	25а	Московская область, Одинцово, бульвар Маршала Крылова, 25А
6725	55	19	Московская область, Одинцово, Вокзальная улица, 19
2104	56	корпус 10	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 10
2105	56	корпус 1	Московская область, Одинцово, улица Белорусская, 3
2106	56	корпус 3	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 11
2107	56	корпус 5	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 2
2108	56	корпус 2	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 9
2109	56	корпус 9	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 8
7892	56	корпус 7	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 4
9583	56	корпус 4	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 13
9584	56	корпус 8	Московская область, Одинцово, 9-й микрорайон, Белорусская улица, 6
9585	56	корпус 11	Московская область, Одинцово, 9-й микрорайон, Белорусская улица
2110	57	Корпус 1	Московская область, Одинцовский район, рабочий посёлок Заречье, Университетская улица, 1
6077	57	Корпус 2	Московская область, Одинцовский район, рабочий посёлок Заречье, Университетская улица, 2
6078	57	Корпус 3	Московская область, Одинцовский район, рабочий посёлок Заречье, Университетская улица, 3
6079	57	Корпус 4	Московская область, Одинцовский район, рабочий посёлок Заречье, Университетская улица, 4
10479	58	корпус 1	Московская область, Одинцовский район, поселок ВНИИССОК, улица Дружбы 17
29512	59	11	Московская область, Одинцовский район, поселок городского типа Лесной Городок, микрорайон Восточный
29517	59	12	Московская область, Одинцовский район, поселок городского типа Лесной Городок, Молодёжная улица, 8
29664	59	8-9-10	Московская область, Одинцовский район, дачный посёлок Лесной Городок, Молодёжная улица, 6
2111	60	122	Московская область, Рогачёвское шоссе
11724	60	123	Московская область, Рогачёвское шоссе
11726	60	125	Московская область, Дмитровский район, коттеджный поселок ЖК Удино парк
11000	61	1	Московская область, Одинцовский район, рабочий поселок Новоивановское, улица Агрохимиков, 19
10425	62	12	Москва, Волжский бульвар, 12
85310	63	35Б	Московская область, Домодедово, микрорайон Дружба, улица Дружбы 35Б
10509	64	1 корпус	Московская область, Павловский Посад, улица Герцена, 18/1
469	65	Корпус 16	Московская область, городской округ Красногорск, поселок Отрадное, квартал Микрогород в лесу, Лесная улица, 16
470	65	Корпус 17	Московская область, городской округ Красногорск, поселок Отрадное, квартал Микрогород в лесу, Лесная улица, 17
471	65	Корпус 18	Московская область, городской округ Красногорск, поселок Отрадное, квартал Микрогород в лесу, Лесная улица, 18
472	65	Корпус 11 (дом 1)	Московская область, городской округ Красногорск, поселок Отрадное, квартал Микрогород в лесу, Кленовая улица, 1
473	65	Корпус 12	Московская область, городской округ Красногорск, поселок Отрадное, квартал Микрогород в лесу, Кленовая улица, 3
474	65	Корпус 13	Московская область, городской округ Красногорск, поселок Отрадное, квартал Микрогород в лесу, Лесная улица
475	65	Корпус 14 (дом 2)	Московская область, городской округ Красногорск, поселок Отрадное, квартал Микрогород в лесу, Кленовая улица, 2
476	65	Корпус 15	Московская область, городской округ Красногорск, поселок Отрадное, квартал Микрогород в лесу, Кленовая улица, 6
595886	65	Корпус 1	Московская область, городской округ Красногорск, поселок Отрадное, Пятницкое шоссе
595887	65	Корпус 2	Московская область, городской округ Красногорск, поселок Отрадное, Пятницкое шоссе
595888	65	Корпус 3	Московская область, городской округ Красногорск, поселок Отрадное, Пятницкое шоссе
595889	65	Корпус 4	Московская область, городской округ Красногорск, поселок Отрадное, Пятницкое шоссе
9855	66	7	Московская область, городской округ Красногорск, посёлок Архангельское, 7
2119	67	33А	Московская область, Подольск, Красногвардейский бульвар, 33А
2121	68	64К2	Москва, Профсоюзная улица, 64к2
2122	69	7кБ	Москва, улица Пудовкина, 7Б
2123	69	7кА	Москва, улица Пудовкина, 7А
10689	69	7кВ	Москва, улица Пудовкина, 7В
105806	70	Корпус 1	Москва, Родниковая улица
105807	70	Корпус 2	Москва, Родниковая улица
105808	70	Корпус 3	Москва, Родниковая улица
40909	71	Дом 13	Москва, 2-я Рыбинская улица, 13
10496	72	5	Москва, Химкинский бульвар, 14к2
2124	73	1АК3	Москва, микрорайон Северное Чертаново, 1Ак3
10675	74	Витро Кантри	Московская область, Одинцовский район, коттеджный посёлок Витро Кантри
88196	75	Корп. 3	Московская область, Луховицы, улица Тимирязева, 12А
2127	76	6	Москва, улица Советской Армии, 6
466	77	12К1	Московская область, Люберцы, 116-й квартал, улица Кирова, 12к1
467	77	12К2	Московская область, Люберцы, 116-й квартал, улица Кирова, 12к2
468	77	12К3	Московская область, Люберцы, 116-й квартал, улица Кирова, 12к3
1377	78	Корпус 1	Москва, улица Маршала Катукова, 24к1
1378	78	Корпус 3	Москва, улица Маршала Катукова, 24к3
1379	78	Корпус 4	Москва, улица Маршала Катукова, 24к4
1380	78	Корпус 5	Москва, улица Маршала Катукова, 24к5
1381	78	Корпус 2	Москва, улица Маршала Катукова, 24к2
9787	79	Дом 6с1	Москва, Брошевский переулок, 6с1
29206	80	Дом 10	Москва, Трубецкая улица, 10
10642	81	24к1	Москва, Филёвский бульвар, 24к1
10643	81	24к2	Москва, Филёвский бульвар, 24к2
10644	81	24к3	Москва, Филёвский бульвар, 24к3
2133	82	2к1	Московская область, Химки, квартал Клязьма, Набережный проезд, 2к1
2134	82	1	Московская область, Химки, квартал Клязьма, улица Лётчика Ивана Фёдорова, 1
2135	82	1К2	Московская область, Химки, квартал Клязьма, Набережный проезд, 1к2
2136	82	3К2	Московская область, Химки, квартал Клязьма, улица Лётчика Ивана Фёдорова, 3к2
2137	82	7	Московская область, Химки, квартал Клязьма, Набережный проезд, 7
2138	82	8К1	Московская область, Химки, квартал Клязьма, улица Лётчика Ивана Фёдорова, 8к1
21128	82	21	Московская область, Химки, квартал Клязьма, Набережный проезд, 21
2139	83	12с1	Москва, Хорошёвское шоссе, 12с1
2143	83	16К1	Москва, Хорошёвское шоссе, 16к1
2144	83	16К2	Москва, Хорошёвское шоссе, 16к2
27984	84	Дом 10к1	Москва, улица Мичуринский Проспект, Олимпийская Деревня, 10к1
10205	85	14	Московская область, Щёлково, жилой комплекс Потапово, к14
10206	85	13	Московская область, Щёлково, жилой комплекс Потапово, к13
10207	85	15	Московская область, Щёлково, жилой комплекс Потапово, к15
33561	86	18к1	Московская область, Подольск, микрорайон Климовск, Советская улица, 18к1
33562	86	18к2	Московская область, Подольск, микрорайон Климовск, Советская улица, 18к1
10525	87	1 корпус	Москва, Юрловский проезд, 14к1
2148	88	31	Москва, Русаковская улица, 31
2151	89	26К2	Москва, проспект Буденного, 26к2
10674	89	26К1	Москва, проспект Будённого, 26к1
2152	90	25К2	Москва, Ломоносовский проспект, 25к2
2153	90	25К1	Москва, Ломоносовский проспект, 25к1
2155	90	25К3	Москва, Ломоносовский проспект, 25к3
2156	90	25К4	Москва, Ломоносовский проспект, 25к4
8145	90	25К5	Москва, Ломоносовский проспект, 25к5
10634	91	Дом 27к1	Москва, Ярцевская улица, 27к1
7853	92	Вл78	Москва, проспект Вернадского, вл78
2157	93	15	Москва, Староволынская улица, 15к1
