2004	295	Дом 5	Московская область, Звенигород, Садовая улица, 5
2066	309	34БКБ	Московская область, Мытищи, улица Колпакова, 34Б
2067	317	Дом 3	Москва, Ружейный переулок, 3
2071	319	Корпус 6 (Октябрьский проспект 10)	Московская область, Мытищи, Октябрьский проспект, 10А
7819	319	Корпус 9	Московская область, Мытищи, Яузская улица, 1
11528	325	10	Москва, улица Ивана Бабушкина, 10
38884	328	8	Московская область, Ивантеевка, Центральный проезд, 17
51385	339	Корпус 1	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 1
51386	339	Корпус 2	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 2
51387	339	Корпус 3	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 3
98689	339	Корпус 5	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 5
102279	339	Корпус 6	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 6
103476	339	Корпус 4	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 4
110371	339	Корпус 7	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры
110372	339	Корпус 8	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры
110374	339	Корпус 9	Московская область, Мякининское шоссе
110420	339	Корпус 10	Московская область, Мякининское шоссе
10508	340	1 корпус	Московская область, Мытищи, Благовещенская улица, 11
2072	341	41а	Московская область, Мытищи, Новомытищинский проспект, 41А
10399	368	Корпус 1	Москва, Мытная улица
10400	368	Корпус 2	Москва, Мытная улица
10401	368	Корпус 3	Москва, Мытная улица
10402	368	Корпус 4	Москва, Мытная улица
11562	378	Дом 19к1	Москва, Нагорный бульвар, 19к1
2078	394	Корп. 1	Москва, Измайловский проезд, 10к1
2079	394	Корп. 2	Москва, Измайловский проезд, 10к2
2080	394	Корп. 3	Москва, Измайловский проезд, 10к3
2081	394	Корп. 4	Москва, Измайловский проезд, 10к4
2084	412	18	Москва, Симферопольский проезд, 18
